First Name,Last Name,Concentrations,Area 1,Area 2,Area 3,Area 4,,,Areas
Mohamed,Abdelfattah,AI,ML,,,,,,AI
Jayadev,Acharya,"AI, Theory",ML,Theory,,,,,Arch
Rachit,Agarwal,"Systems, Theory",Systems,Theory,,,,,Comp Bio
David,Albonesi,Systems ,Systems,Arch,,,,,Crypto
Lorenzo,Alvisi,Systems,Systems,,,,,,Databases
Yoav,Artzi,AI ,NLP,,,,,,Graphics
Shiri,Azenkot,Scientific Computing,Scientific,HCI,,,,,HCI
Kavita,Bala,"AI, PL, Scientific Computing",AI,Graphics,Vision,,,,ML
Sid,Banerjee,Theory,Theory,,,,,,NLP
Christopher,Batten,Systems,Systems,Arch,,,,,PL
Tapomayukh,Bhattacharjee,AI,Robotics,ML,,,,,Robotics
David,Bindel,Scientific Computing,Scientific,,,,,,Scientific Computing
Ken,Birman,Systems,Systems,Security,,,,,Security
Florentina ,Bunea,AI,Theory,ML,,,,,Software Engineering
Mark ,Campbell,AI,Robotics,ML,,,,,Systems
Claire,Cardie,AI,NLP,,,,,,Theory
Eshan,Chattopadhyay,Theory,Theory,,,,,,Vision
Sanjiban,Choudhury,"AI, ML",Robotics, ,,,,,
Tanzeem,Choudhury,AI,ML,,,,,,
Alex ,Conway,"Systems, Theory",Systems,Theory,,,,,
Anil,Damle,Scientific Computing,Scientific,,,,,,
Cristian,Danescu-Niculescu-Mizil,Scientific Computing,AI,NLP,,,,,
Abe,Davis,"AI, ",Graphics,Vision,HCI,,,,
Christopher,De Sa,"AI, Systems",ML,Systems,,,,,
Sarah,Dean,"AI, Theory",ML,Theory,,,,,
Nicola,Dell,AI,HCI,,,,,,
Shimon,Edelman,AI,AI,,,,,,
Ahmed ,El Alaoui,Theory,Theory,,,,,,
Kevin,Ellis,AI,ML, ,,,,,
Deborah,Estrin,Systems,Systems,,,,,,
Silvia,Ferrari,AI,AI,Vision,,,,,
Nate,Foster,"PL, Systems",PL,Systems,Security,,,,
Sainyam,Galhotra,"AI, Systems",AI,DB,Systems,,,,
Nikhil,Garg,"AI, Theory",AI,Theory,,,,,
Ziv,Goldfeld,Theory,Theory,ML,,,,,
Carla ,Gomes,AI,AI,Comp Bio,,,,,
Giulia,Guidi,Comp Bio,Scientific Computing,Systems,  ,,,,
Francois,Guimbretiere,Systems,Systems,HCI,,,,,
Udit ,Gupta,Systems,Systems,ML,,,,,
Joe,Halpern,"AI, PL, Theory",AI,PL,Theory,,,,
Bharath,Hariharan,"AI, Scientific Computing",Vision,Scientific Computing,ML,,,,
Haym,Hirsh,AI,AI,,,,,,
Guy,Hoffman,AI,AI,Robotics,,,,,
Justin,Hsu,"PL, Theory",PL,Theory,,,,,
Thorsten ,Joachims ,AI,ML,,,,,,
Wendy,Ju,AI,HCI,,,,,,
Ari,Juels,Systems,Security,Systems,,,,,
malte,jung,AI,HCI,,,,,,
Nathan ,Kallus,AI,ML,,,,,,
Michael,Kim,Theory ,Theory,ML,,,,,
Jon,Kleinberg,"AI, Theory",HCI,Theory,,,,,
Robert,Kleinberg,"AI, Theory",AI,Theory,,,,,
Allison,Koenecke,AI,ML,,,,,,
Dexter,Kozen,"PL, Theory",PL,Theory,,,,,
Hadas,Kress-Gazit,AI,Robotics,,,,,,
Volodymyr,Kuleshov,AI,Comp bio,Scientific Computing,ML,,,,
Daniel,Lee,AI,Robotics,ML,,,,,
Lillian,Lee,AI,NLP,,,,,,
Owolabi,Legunsen,"PL,Systems",Software Engineering,PL,Systems,,,,
Emaad,Manzoor,AI,ML,,,,,,
Steve,Marschner,Scientific Computing,Graphics,Vision,,,,,
José,Martínez,Systems,Systems,Arch,,,,,
David,Matteson,AI,ML, ,,,,,
David,Mimno,AI,AI,ML,,,,,
Kristina,Monakhova,AI,ML,,,,,,
Greg,Morrisett ,"PL, Systems",PL,Systems,,,,,
Andrew,Myers,PL,PL,Security,Systems,,,,
Mor,Naaman,Systems,Systems,HCI,,,,,
Rajalakshmi,Nandakumar,Systems,Systems,,,,,,
anil,nerode,AI,AI,Theory,,,,,
Tapan,Parikh,"AI, Systems",AI,Systems,,,,,
FranceScientific Computinga,Parise ,,AI,Theory,,,,,
Rafael,Pass,"AI, Theory",Crypto,Theory,AI,,,,
Kirsten,Petersen,AI,Robotics,,,,,,
Emma ,Pierson,AI,ML,HCI,,,,,
Thomas,Ristenpart,"Systems, Theory",Systems,Security,Theory,,,,
Thijs,Roumen,Systems,Systems,HCI,,,,,
Alexander ,Rush,AI,NLP,ML,,,,,
Mert,Sabuncu,AI,Vision,ML,,,,,
Adrian,Sampson,PL,PL,Arch,Systems,,,,
Katya,Scientific Computingheinberg,"Scientific Computing, Theory",Scientific,Theory,,,,,
Fred,Schneider,"PL, Systems",Security,systems,PL,,,,
Ziv,Goldfeld,Theory,Theory,,,,,,
Bart ,Selman,AI,AI,,,,,,
Phoebe,Sengers,AI,AI,HCI,,,,,
Vitaly,Shmatikov,Systems,Systems,Security,AI,,,,
David,Shmoys,"Scientific Computing, Theory",Comp bio,Theory,,,,,
Alexandra,Silva,"PL, Theory",PL,Theory,,,,,
Rachee,Singh,Systems,Security,Systems,,,,,
Noah,Snavely,"AI, Scientific Computing",Graphics,Scientific Computing,Vision,HCI,,,
Karthik,Sridharan,"AI, Theory",ML,Theory,,,,,
Noah,Stephens-Davidowitz,Theory,Theory,Security,Crypto,,,,
Ed,Suh,Systems,Systems,Security,Arch,,,,
Jennifer,Sun,AI,HCI,ML,Vision,,,,
Wen ,Sun,AI,ML,Theory,Robotics,,,,
Kevin,Tang,"Systems, Theory",Systems,Theory,,,,,
Eva,Tardos,Theory,Theory,,,,,,
Angelique,Taylor,AI,Robotics,,,,,,
Alex,Townsend,Scientific Computing, Scientific Computing,,,,,,
Immanuel,Trummer,Systems,Databases,,,,,,
Robbert,Van Renesse,Systems,Systems,,,,,,
Marten,van Schijndel,AI,AI,NLP,ML,,,,
Aditya,Vashistha,AI,HCI,,,,,,
Aaron,Wagner,Theory,Theory,Security,,,,,
Fei,Wang,AI,ML,,,,,,
Hakim,Weatherspoon,Systems,Systems,,,,,,
Kilian,Weinberger,AI,ML,,,,,,
Stephen,Wicker,"AI, Theory",AI,Theory,,,,,
Mark ,Wilde,Theory,Theory,,,,,,
David,Williamson,Theory,Theory,,,,,,
Qian,Yang,"AI, Scientific Computing",AI,Scientific Computing,,,,,
Fengqi,You,Theory,Theory,,,,,,
Christine Lee,Yu,Theory,Theory,,,,,,
Haiyuan,Yu,Scientific Computing,Comp bio,,,,,,
Ramin,Zabih,"AI, Theory",vision,Theory,,,,,
Cheng,Zhang,Systems,HCI,Systems,,,,,
Zhiru,Zhang,Systems,Systems,,,,,,
