First Name,Last Name,Concentrations,Area 1,Area 2,Area 3,Area 4,Unnamed: 7,Unnamed: 8,Areas,FacultyName
Mohamed,Abdelfattah,AI,ML,,,,,,AI,Mohamed Abdelfattah
Jayadev,Acharya,"AI, Theory",ML,Theory,,,,,Arch,Jayadev Acharya
Rachit,Agarwal,"Systems, Theory",Systems,Theory,,,,,Comp Bio,Rachit Agarwal
David,Albonesi,Systems ,Systems,Arch,,,,,Crypto,David Albonesi
Lorenzo,Alvisi,Systems,Systems,,,,,,Databases,Lorenzo Alvisi
Yoav,Artzi,AI ,NLP,,,,,,Graphics,Yoav Artzi
Shiri,Azenkot,Scientific Computing,Scientific,HCI,,,,,HCI,Shiri Azenkot
Kavita,Bala,"AI, PL, Scientific Computing",AI,Graphics,Vision,,,,ML,Kavita Bala
Sid,Banerjee,Theory,Theory,,,,,,NLP,Sid Banerjee
Christopher,Batten,Systems,Systems,Arch,,,,,PL,Christopher Batten
Tapomayukh,Bhattacharjee,AI,Robotics,ML,,,,,Robotics,Tapomayukh Bhattacharjee
David,Bindel,Scientific Computing,Scientific,,,,,,Scientific Computing,David Bindel
Ken,Birman,Systems,Systems,Security,,,,,Security,Ken Birman
Florentina ,Bunea,AI,Theory,ML,,,,,Software Engineering,Florentina  Bunea
Mark ,Campbell,AI,Robotics,ML,,,,,Systems,Mark  Campbell
Claire,Cardie,AI,NLP,,,,,,Theory,Claire Cardie
Eshan,Chattopadhyay,Theory,Theory,,,,,,Vision,Eshan Chattopadhyay
Sanjiban,Choudhury,"AI, ML",Robotics, ,,,,,,Sanjiban Choudhury
Tanzeem,Choudhury,AI,ML,,,,,,,Tanzeem Choudhury
Alex ,Conway,"Systems, Theory",Systems,Theory,,,,,,Alex  Conway
Anil,Damle,Scientific Computing,Scientific,,,,,,,Anil Damle
Cristian,Danescu-Niculescu-Mizil,Scientific Computing,AI,NLP,,,,,,Cristian Danescu-Niculescu-Mizil
Abe,Davis,"AI, ",Graphics,Vision,HCI,,,,,Abe Davis
Christopher,De Sa,"AI, Systems",ML,Systems,,,,,,Christopher De Sa
Sarah,Dean,"AI, Theory",ML,Theory,,,,,,Sarah Dean
Nicola,Dell,AI,HCI,,,,,,,Nicola Dell
Shimon,Edelman,AI,AI,,,,,,,Shimon Edelman
Ahmed ,El Alaoui,Theory,Theory,,,,,,,Ahmed  El Alaoui
Kevin,Ellis,AI,ML, ,,,,,,Kevin Ellis
Deborah,Estrin,Systems,Systems,,,,,,,Deborah Estrin
Silvia,Ferrari,AI,AI,Vision,,,,,,Silvia Ferrari
Nate,Foster,"PL, Systems",PL,Systems,Security,,,,,Nate Foster
Sainyam,Galhotra,"AI, Systems",AI,DB,Systems,,,,,Sainyam Galhotra
Nikhil,Garg,"AI, Theory",AI,Theory,,,,,,Nikhil Garg
Ziv,Goldfeld,Theory,Theory,ML,,,,,,Ziv Goldfeld
Carla ,Gomes,AI,AI,Comp Bio,,,,,,Carla  Gomes
Giulia,Guidi,Comp Bio,Scientific Computing,Systems,  ,,,,,Giulia Guidi
Francois,Guimbretiere,Systems,Systems,HCI,,,,,,Francois Guimbretiere
Udit ,Gupta,Systems,Systems,ML,,,,,,Udit  Gupta
Joe,Halpern,"AI, PL, Theory",AI,PL,Theory,,,,,Joe Halpern
Bharath,Hariharan,"AI, Scientific Computing",Vision,Scientific Computing,ML,,,,,Bharath Hariharan
Haym,Hirsh,AI,AI,,,,,,,Haym Hirsh
Guy,Hoffman,AI,AI,Robotics,,,,,,Guy Hoffman
Justin,Hsu,"PL, Theory",PL,Theory,,,,,,Justin Hsu
Thorsten ,Joachims ,AI,ML,,,,,,,Thorsten  Joachims 
Wendy,Ju,AI,HCI,,,,,,,Wendy Ju
Ari,Juels,Systems,Security,Systems,,,,,,Ari Juels
malte,jung,AI,HCI,,,,,,,malte jung
Nathan ,Kallus,AI,ML,,,,,,,Nathan  Kallus
Michael,Kim,Theory ,Theory,ML,,,,,,Michael Kim
Jon,Kleinberg,"AI, Theory",HCI,Theory,,,,,,Jon Kleinberg
